-6.700, -9.000, 1.900 0
-5.500, -8.800, 2.200 0
-5.400, -8.000, 2.000 0
-4.800, -7.800, 2.000 0
-4.300, -7.800, 2.000 0
-3.700, -7.900, 1.900 0
-3.200, -7.800, 2.000 0
-2.800, -7.800, 2.000 0
-1.900, -7.600, 1.900 0
-0.900, -7.800, 1.700 0
-0.800, -7.700, 1.700 0
-0.200, -7.500, 1.900 0
0.300, -7.600, 1.600 0
0.900, -7.400, 1.900 0
1.700, -7.400, 1.800 0
1.900, -7.600, 1.800 0
2.700, -7.600, 1.700 0
2.800, -7.500, 1.700 0
3.500, -7.600, 1.700 0
3.800, -7.800, 1.700 0
4.100, -7.700, 1.900 0
4.900, -7.300, 1.900 0
5.500, -7.200, 1.700 0
5.900, -7.200, 1.600 0
6.400, -7.100, 1.600 0
7.000, -6.900, 1.700 0
7.500, -6.700, 1.700 0
7.900, -6.900, 1.400 0
8.500, -6.700, 1.500 0
9.000, -6.600, 1.500 0
9.700, -6.400, 1.800 0
10.000, -6.300, 1.700 0
10.600, -6.200, 2.100 0
11.200, -5.900, 1.700 0
11.700, -6.000, 1.800 0
12.100, -5.800, 1.800 0
12.700, -5.600, 1.700 0
13.300, -5.500, 2.000 0
13.800, -5.300, 1.900 0
14.400, -5.300, 1.500 0
15.300, -5.400, 1.800 0
15.500, -5.000, 2.200 0
16.000, -5.200, 1.800 0
16.600, -5.000, 1.800 0
17.100, -5.000, 1.900 0
17.800, -4.900, 2.100 0
18.000, -4.600, 1.600 0
18.700, -4.600, 1.800 0
20.300, -4.200, 1.600 0
20.800, -4.400, 1.600 0
21.500, -3.800, 1.700 0
21.800, -4.100, 1.600 0
23.200, -3.900, 2.100 0
23.800, -3.800, 2.200 0
24.300, -3.900, 2.100 0
24.500, -3.900, 2.100 0
25.400, -3.600, 2.200 0
25.300, -3.800, 2.200 0
25.200, -3.600, 2.200 0
25.200, -3.700, 2.200 0
25.200, -3.700, 2.300 0
25.200, -3.700, 2.500 0
25.100, -3.500, 2.400 0
25.000, -3.600, 2.500 0
25.000, -3.600, 2.500 0
25.000, -3.600, 2.500 0
